"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5713","Handling confirmation alert","firefox","Thu Jan 08 22:20:17 IST 2026","passed","Thu Jan 08 22:20:23 IST 2026","","handlingAlertsinPW.spec.js","",""
"","1675","test","firefox","Thu Jan 08 22:20:24 IST 2026","failed","Thu Jan 08 22:20:26 IST 2026","","myTest.spec.js","",""
"","952","Assertion in PW","chromium","Thu Jan 08 22:19:46 IST 2026","passed","Thu Jan 08 22:19:47 IST 2026","","assertionsinPW.spec.js","",""
"","3647","Handling simple alert","webkit","Thu Jan 08 22:20:52 IST 2026","passed","Thu Jan 08 22:20:55 IST 2026","","handlingAlertsinPW.spec.js","",""
"","3494","element Screenshot","webkit","Thu Jan 08 22:21:01 IST 2026","passed","Thu Jan 08 22:21:05 IST 2026","","screenshotsinPW.spec.js","",""
"","6713","checkbox in PW","firefox","Thu Jan 08 22:20:14 IST 2026","passed","Thu Jan 08 22:20:20 IST 2026","","checboxesinPW.spec.js","",""
"","3719","element Screenshot","firefox","Thu Jan 08 22:20:27 IST 2026","passed","Thu Jan 08 22:20:30 IST 2026","","screenshotsinPW.spec.js","",""
"","3655","getByRole","firefox","Thu Jan 08 22:20:10 IST 2026","passed","Thu Jan 08 22:20:14 IST 2026","","buildInLocators.spec.js","",""
"","3028","fullpage Screenshot","firefox","Thu Jan 08 22:20:26 IST 2026","passed","Thu Jan 08 22:20:29 IST 2026","","screenshotsinPW.spec.js","",""
"","3982","getByRole","webkit","Thu Jan 08 22:20:43 IST 2026","passed","Thu Jan 08 22:20:47 IST 2026","","buildInLocators.spec.js","",""
"","525","get started link","webkit","Thu Jan 08 22:20:48 IST 2026","passed","Thu Jan 08 22:20:48 IST 2026","","example.spec.js","",""
"","453","has title","chromium","Thu Jan 08 22:19:52 IST 2026","passed","Thu Jan 08 22:19:52 IST 2026","","example.spec.js","",""
"","4209","locators in playwright","firefox","Thu Jan 08 22:20:22 IST 2026","passed","Thu Jan 08 22:20:26 IST 2026","","locators.spec.js","",""
"","3135","fullpage Screenshot","chromium","Thu Jan 08 22:20:00 IST 2026","passed","Thu Jan 08 22:20:03 IST 2026","","screenshotsinPW.spec.js","",""
